,TIME,NUM1,NUM2,NUM3,NUM4,NUM5,NUM6,BONUS_NUM
411,412,4,7,39,41,42,45,40
412,413,2,9,15,23,34,40,3
413,414,2,14,15,22,23,44,43
414,415,7,17,20,26,30,40,24
415,416,5,6,8,11,22,26,44
416,417,4,5,14,20,22,43,44
417,418,11,13,15,26,28,34,31
418,419,2,11,13,14,28,30,7
419,420,4,9,10,29,31,34,27
420,421,6,11,26,27,28,44,30
421,422,8,15,19,21,34,44,12
422,423,1,17,27,28,29,40,5
423,424,10,11,26,31,34,44,30
424,425,8,10,14,27,33,38,3
425,426,4,17,18,27,39,43,19
426,427,6,7,15,24,28,30,21
427,428,12,16,19,22,37,40,8
428,429,3,23,28,34,39,42,16
429,430,1,3,16,18,30,34,44
430,431,18,22,25,31,38,45,6
431,432,2,3,5,11,27,39,33
432,433,19,23,29,33,35,43,27
433,434,3,13,20,24,33,37,35
434,435,8,16,26,30,38,45,42
435,436,9,14,20,22,33,34,28
436,437,11,16,29,38,41,44,21
437,438,6,12,20,26,29,38,45
438,439,17,20,30,31,37,40,25
439,440,10,22,28,34,36,44,2
440,441,1,23,28,30,34,35,9
441,442,25,27,29,36,38,40,41
442,443,4,6,10,19,20,44,14
443,444,11,13,23,35,43,45,17
444,445,13,20,21,30,39,45,32
445,446,1,11,12,14,26,35,6
446,447,2,7,8,9,17,33,34
447,448,3,7,13,27,40,41,36
448,449,3,10,20,26,35,43,36
449,450,6,14,19,21,23,31,13
450,451,12,15,20,24,30,38,29
451,452,8,10,18,30,32,34,27
452,453,12,24,33,38,40,42,30
453,454,13,25,27,34,38,41,10
454,455,4,19,20,26,30,35,24
455,456,1,7,12,18,23,27,44
456,457,8,10,18,23,27,40,33
457,458,4,9,10,32,36,40,18
458,459,4,6,10,14,25,40,12
459,460,8,11,28,30,43,45,41
460,461,11,18,26,31,37,40,43
461,462,3,20,24,32,37,45,4
462,463,23,29,31,33,34,44,40
463,464,6,12,15,34,42,44,4
464,465,1,8,11,13,22,38,31
465,466,4,10,13,23,32,44,20
466,467,2,12,14,17,24,40,39
467,468,8,13,15,28,37,43,17
468,469,4,21,22,34,37,38,33
469,470,10,16,20,39,41,42,27
470,471,6,13,29,37,39,41,43
471,472,16,25,26,31,36,43,44
472,473,8,13,20,22,23,36,34
473,474,4,13,18,31,33,45,43
474,475,1,9,14,16,21,29,3
475,476,9,12,13,15,37,38,27
476,477,14,25,29,32,33,45,37
477,478,18,29,30,37,39,43,8
478,479,8,23,25,27,35,44,24
479,480,3,5,10,17,30,31,16
480,481,3,4,23,29,40,41,20
481,482,1,10,16,24,25,35,43
482,483,12,15,19,22,28,34,5
483,484,1,3,27,28,32,45,11
484,485,17,22,26,27,36,39,20
485,486,1,2,23,25,38,40,43
486,487,4,8,25,27,37,41,21
